"","PLT_CN","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage"
"125",2395912010690,6.5215734192347,0.276859901027215,21.1853333333333,6.42272320441989,0.274539281767956,20,7.77,7.205,3636.48182320442,145774.079005525,86945.3552486188,807091.032928177,5.85,412.559005524862,283.14,0,0,4.09723756906077,5.73613259668508,84.4990607734807,1358.62906077348,13737.1337900552,3882.93827071823
"126",2396627010690,2.28335249444444,0.121104051444444,20.254,2.268164,0.12089,20,7.99,7.36,5521.416,43077.456,73367.538,1618457.406,0,31.34,0,0,0,0,6.268,3.134,2669.287,282.7407,75.8428
"127",2397418010690,4.0642202095,0.296150400361111,22.0531666666667,3.69526,0.291282,20,7.275,6.56,3590.957,108850.087,76413.011,559860.518,0,1065.643,0,0,0,0,2.402,0,1073.907,10842.3314,1327.8561
"128",2397494010690,3.64265860266667,0.348120669877778,20.7196666666667,3.260435,0.339411,20,7.46,6.875,5605.969,65331.895,71750.463,878387.408,0,212.396,0,0,0,0,0,0,1609.791,5877.152,1532.9431
"129",2397690010690,3.03817110822222,0.223428098805556,22.6035,2.453204,0.202882,20,5.985,5.18,4011.884,70691.72,48080.3,378003.08,1354.552,3852.326,430.332,0,0,0,12.24,68.67,1686.23,10852.0652,4640.7822
"130",2397789010690,4.68833715448148,0.217479943896296,21.9896666666667,3.53896,0.183525,20,7.39,6.645,5124.413,94371.42,103739.73,711913.102,280.889,1481.143,0,0,0,0,5.667,0,1517.005,15616.0856,6863.3602
"131",2397902010690,3.27936252777778,0.260075494444444,20.7408333333333,3.01812,0.25365,20,7.12,6.32,6064.402,80566.26,141822.56,802011.04,477.47,1214.346,363.09,0,9.31,6.65,8.124,57.19,1317.462,910.0762,335.3448
"132",2398197010690,3.83325754388889,0.325148518318519,20.2751666666667,3.7959,0.32439,20,8.025,7.48,2851.272,77781.38,117747.54,1603012.642,151.696,147.402,0,0,0,0,2.248,44.24,868.332,2771.0098,953.4862
"133",2398351010690,1.4929223122963,0.127996533807407,20.4021666666667,1.369228,0.12502,20,8.315,7.615,939.372,30002.032,59388.32,953382.012,479.464,499.872,0,0,0,0,0,14.84,1395.548,2.6616,289.9992
"134",2399364010690,3.33570479866667,0.338317779733333,20.127,3.30764,0.337955,20,7.5,7.09,701.941,69722.738,32104.23,668539.9,0,15.912,0,0,0,1.872,-1.133,114.145,915.184,4058.0167,984.8386
