"","X.1","PLT_CN","PREVDIA.EM","DIA.EM","PREVDIA.AM","DIA.AM","PREVDIA.EITHER","DIA.EITHER","PREVDIA.OTHER","DIA.OTHER","PREVDIA.TOT","DIA.TOT","BASAL.EM","BASAL.AM","BASAL.EITHER","BASAL.OTHER","PREVSTEM.EM","STEM.EM","PREVSTEM.AM","STEM.AM","PREVSTEM.EITHER","STEM.EITHER","PREVSTEM.OTHER","STEM.OTHER","PREVSTEM.TOT","STEM.TOT","REMPER","latitude","longitude","elevation","grm.out","X","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage","map","mat"
"1",1,107390404010478,16.9,16.9,155,155,0,0,0,0,171.9,171.9,115.461384001059,939.587530835635,0,0,2,2,21,21,0,0,0,0,23,23,NA,30.088087,-99.084418,1970,0,3350,11.708056957963,0.828173265912963,20.4868333333333,11.3307,0.81777,20,7.98,7.63,1794,106158,59553,1211460,0,547.8,122.4,0,0,0,0,0,2129.1,NA,1488,808.130004882812,17.8899993896484
"2",2,107391226010478,0,0,270.2,270.2,0,0,0,0,270.2,270.2,0,2458.5947027361,0,0,0,0,25,25,0,0,0,0,25,25,NA,30.294813,-99.617313,2100,0,3351,11.5016582194045,0.799446017673,10.2751666666667,10.4692127071823,0.76774226519337,10,7.92,7.58,4342.78453038674,46064.5359116022,36138.1712707182,1767513.3038674,310.198895027624,728.967403314917,294.688950276243,0,0,0,31.0198895027624,0,1473.44475138122,NA,744.477348066298,693.049987792969,18.2299995422363
"3",3,107401220010478,0,0,15.2,15.2,0,0,0,0,15.2,15.2,0,92.2999921624681,0,0,0,0,2,2,0,0,0,0,2,2,NA,28.360989,-99.937779,800,0,3354,4.61960244407407,0.383989447940741,20.4868333333333,4.5881,0.38308,20,8.095,7.78,73247,66222,45586,1989422,283,283.7,365.8,141.5,0,0,14.5,0,17549.3,NA,842,519.97998046875,21.8700008392334
"4",4,107404920010478,0,0,49.2,49.2,5.8,5.8,0,0,55,55,0,283.67010865589,26.4207942166902,0,0,0,7,7,1,1,0,0,8,8,NA,33.816723,-96.039821,490,0,3356,4.53242323333333,0.363287708111111,20.3175,4.5074,0.36218,20,7.855,7.535,17526,80978,41140,2092842,0,338.4,129,40.6,0,0,44.4,14.8,3730.8,NA,3640.4,1134.88000488281,17.1000003814697
"5",5,107410712010478,56.6,56.6,0,0,0,0,0,0,56.6,56.6,717.241310777818,0,0,0,4,4,0,0,0,0,0,0,4,4,NA,32.24876,-99.2618,2040,0,3359,10.8079478833333,0.758667816744445,21.0371666666667,10.7508,0.75642,20,7.955,7.56,5622,50286,35304,1631970,378,475.8,234,0,0,0,30.6,75,2140.8,NA,950.4,709.5,17.9099998474121
"6",6,107412001010478,0,0,75,75,0,0,0,0,75,75,0,376.26855212045,0,0,0,0,12,12,0,0,0,0,12,12,NA,33.958627,-98.357608,980,0,3360,3.16823970666667,0.216015426266667,20.508,3.1037,0.21219,20,6.245,5.64,7973,32536,72550,327427,777,6657.1,452.2,79.9,0,32.4,0,0,1442,NA,NA,785.369995117188,17.4300003051758
"7",7,107413522010478,0,0,163.2,163.2,0,0,0,0,163.2,163.2,0,1104.04990625106,0,0,0,0,21,21,0,0,0,0,21,21,NA,34.910909,-100.48478,2370,0,3361,3.48845409,0.283671939262963,20.2328333333333,3.2538,0.27225,20,8.17,7.685,1396,35167,34077,970170,0,340.5,200.3,101.8,0,0,100.6,89.3,1011.1,NA,504.2,614.440002441406,15.6899995803833
"8",8,107415501010478,21.7,21.7,265.6,265.6,0,0,0,0,287.3,287.3,210.683057331366,1887.06045923178,0,0,2,2,32,32,0,0,0,0,34,34,NA,31.51933,-97.71874,950,0,3362,12.4362544977778,1.36950737927778,22.159,11.8354,1.3458,20,7.935,7.575,6111,93609,47317,1111759,1670,625.8,412.8,90.6,0,14.7,10.6,0,2264.9,NA,31.8,864.330017089844,18.8400001525879
"9",9,107424713010478,0,0,38,38,0,0,0,0,38,38,0,243.08073157151,0,0,0,0,5,5,0,0,0,0,5,5,NA,29.981312,-97.472457,450,0,3365,2.74218014814815,0.276903194074074,24.2333333333333,2.6028,0.26988,20,6.635,5.985,6246,29046,45618,348420,849,9494.7,494.4,71.7,0,28.5,84.6,0,509.4,NA,1051.2,891.72998046875,19.8999996185303
"10",10,107428720010478,0,0,65.3,65.3,0,0,0,0,65.3,65.3,0,348.520435007618,0,0,0,0,10,10,0,0,0,0,10,10,NA,31.584398,-96.973003,460,0,3366,1.82776436,0.2118261218,20.5715,1.7497,0.20821,20,5.725,5.07,6344.3,35403,48363,363555.1,7324.6,3679.2,304.1,14.9,0,62.6,79,114.8,544.1,646.8,NA,921.510009765625,19.1299991607666
"11",11,107429512010478,81.5,81.5,12.7,12.7,0,0,0,0,94.2,94.2,484.504273018252,63.6565211433632,0,0,11,11,2,2,0,0,0,0,13,13,NA,30.597275,-99.389476,1750,0,3367,4.9283178162963,0.377024284592593,21.8626666666667,4.7202,0.36883,20,6.85,6.285,4460.2,76239.8,69839.8,412100.4,1035.6,5212.5,578.3,26.9,0,26.9,0,94.9,1285.2,NA,242.1,699.640014648438,18.3799991607666
"12",12,107431510010478,0,0,142.4,142.4,0,0,0,0,142.4,142.4,0,824.495283971373,0,0,0,0,20,20,0,0,0,0,20,20,NA,31.658919,-98.651373,1530,0,3368,1.88438906111111,0.101035790555556,24.0216666666667,1.78,0.09464,20,7.515,6.92,1604.8,32853.6,21987.6,383899.2,775.2,2039.2,518.4,128,0,0,16.4,272.4,235.6,NA,206,767.460021972656,18.25
"13",13,107432987010478,33.9,33.9,158.1,158.1,0,0,0,0,192,192,192.980182728387,1416.39490185259,0,0,5,5,16,16,0,0,0,0,21,21,NA,32.36732,-100.199946,2360,0,3369,7.99681879259259,0.478889763192593,26.6886666666667,7.0092,0.45536,20,8.085,7.74,3731.4,100319.5,98271.3,1310041.3,552.7,389.4,441.2,110.3,0,0,97.2,244.2,1694.7,NA,559.8,618.429992675781,17.2800006866455
"14",14,107441756010478,0,0,130.9,130.9,0,0,0,0,130.9,130.9,0,1300.28163737591,0,0,0,0,13,13,0,0,0,0,13,13,NA,33.255202,-100.608354,1970,0,3371,3.11565702333333,0.299823983666667,20.254,2.7009,0.27447,20,7.32,6.9,1506,128791.5,53776.6,815388,114.1,1410.3,527.4,0,0,147.2,13.1,97.9,2412.6,NA,3480.3,593.789978027344,16.9300003051758
"15",15,107443326010478,0,0,5.7,5.7,0,0,0,0,5.7,5.7,0,25.5175863287831,0,0,0,0,1,1,0,0,0,0,1,1,NA,33.828636,-100.505063,2080,0,3372,1.79783839,0.1559323964,20.0423333333333,1.7777,0.15525,20,8.075,7.57,955.3,48573.2,21344.8,854388.5,171,73.4,293.6,0,0,13.9,0,22.8,1285.6,NA,183.5,606.159973144531,16.7199993133545
"16",16,107447893010478,0,0,81.2,81.2,0,0,0,0,81.2,81.2,0,555.70061653023,0,0,0,0,10,10,0,0,0,0,10,10,NA,34.719173,-100.351766,1930,0,3373,3.37376199722222,0.271458260833333,20.2751666666667,3.2432,0.26463,20,8.055,7.73,6531.4,89591,92698.1,975530.1,232.7,60.5,293.8,61.1,0,0,12.1,121.6,3434.3,NA,292.2,613.02001953125,16.3700008392334
"17",17,107448252010478,0,0,223.1,223.1,0,0,0,0,223.1,223.1,0,1338.56194385991,0,0,0,0,31,31,0,0,0,0,31,31,NA,33.611507,-98.255287,1040,0,3374,2.65695061185185,0.158224065914815,20.8678333333333,2.4918,0.14977,20,6.395,5.755,4639.3,20372,60589.8,321550.4,1352.3,5326.3,1094.7,15.7,0,0,49.7,0,1224.2,NA,NA,811.22998046875,17.5400009155273
"18",18,107451637010478,0,0,62,62,0,0,0,0,62,62,0,413.072310057254,0,0,0,0,8,8,0,0,0,0,8,8,NA,30.99533,-101.990416,2250,0,3376,7.41164972,0.497561196866667,20.0846666666667,7.3669,0.49486,20,8.115,7.73,5037,105813.2,39660.4,1916451.1,262.3,152.8,269.7,102.2,0,0,0,0,1519.4,NA,500.5,388.579986572266,18.8400001525879
"19",19,107456124010478,0,0,44.4,44.4,0,0,0,0,44.4,44.4,0,274.48095014414,0,0,0,0,6,6,0,0,0,0,6,6,NA,32.315379,-98.517856,1490,0,3377,5.10535566222222,0.449679592533333,22.032,5.0204,0.44576,20,7.84,7.29,5271.2,83035,26666.8,1335104.2,0,359.2,217,77.2,0,0,91.8,0,1429,NA,342.8,810.169982910156,17.8199996948242
"20",20,107457217010478,0,0,128.2,128.2,0,0,0,0,128.2,128.2,0,1403.94634096274,0,0,0,0,12,12,0,0,0,0,12,12,NA,31.894709,-99.153193,1550,0,3380,1.87709466074074,0.107367856414815,20.6773333333333,1.7597,0.10059,20,5.865,5.245,4218.9,50744.8,23495.4,187379.2,4577.2,4087.8,1554.6,0,0,103.8,0,0,1098.7,NA,NA,737.210021972656,18.1200008392334
"21",21,107462425010478,0,0,7.3,7.3,0,0,0,0,7.3,7.3,0,41.85386812745,0,0,0,0,1,1,0,0,0,0,1,1,NA,32.202558,-103.03803,3210,0,3381,2.44020048592593,0.139713951362963,20.8043333333333,2.3492,0.13739,20,8.2,7.73,1333.1,79360.6,25658.8,1028772.4,71.5,42,226.1,0,0,28.3,0,56,1076.9,NA,493.6,345.070007324219,17.3600006103516
"22",22,107464991010478,39.9,39.9,356,356,0,0,0,0,395.9,395.9,282.248537980141,3549.71695521764,0,0,5,5,32,32,0,0,0,0,37,37,NA,31.176211,-97.621282,760,0,3382,9.70944859259259,0.481521072592593,22.1166666666667,9.0422,0.46372,20,8.05,7.575,2776.8,42450,23955.9,1338420.1,358.5,228.7,252.5,0,0,0,53.6,71.5,1873.7,NA,621.8,871.469970703125,19.2900009155273
"23",23,107465971010478,0,0,33.2,33.2,0,0,0,0,33.2,33.2,0,181.788258899973,0,0,0,0,5,5,0,0,0,0,5,5,NA,32.826643,-101.255082,2460,0,3383,4.77303034962963,0.37046758717037,20.3386666666667,4.5874,0.36016,20,7.855,7.545,2971,151530.6,51117.2,1598586.6,290.4,130.4,331.8,65,0,0,91.4,0,1516.6,NA,289.6,526.130004882812,17.1499996185303
"24",24,107477184010478,0,0,25,25,0,0,0,0,25,25,0,124.045785926993,0,0,0,0,4,4,0,0,0,0,4,4,NA,31.341459,-102.780098,2410,0,3385,1.63619162111111,0.0784952090555556,20.4656666666667,1.5672,0.07599,20,8.25,7.765,4083,205880,30376,865116,1397,157.2,956.3,19,0,0,52.9,0,10028.7,NA,2241.8,327.290008544922,18.5300006866455
"25",25,107477434010478,0,0,21.3,21.3,0,0,0,0,21.3,21.3,0,120.299436687587,0,0,0,0,3,3,0,0,0,0,3,3,NA,31.476631,-103.306484,2700,0,3386,0.851772740740741,0.0152159614814815,20.8466666666667,0.8234,0.01432,20,7.55,7.125,716,51910,13425,172914,1790,877.1,1414.1,71.6,0,0,71.6,0,1843.7,NA,1181.4,308.630004882812,18.4200000762939
"26",26,107480408010478,112.9,112.9,0,0,0,0,0,0,112.9,112.9,1014.08254663388,0,0,0,11,11,0,0,0,0,0,0,11,11,NA,30.84839,-100.080354,2110,0,3387,6.51146603403315,0.601208272689503,10.762,6.13253867403315,0.589584419889503,10,8.08,7.66,2366.94475138122,148902.342541436,48414.7790055249,1548412.22099448,430.353591160221,129.106077348066,64.5530386740331,21.5176795580111,0,0,43.0353591160221,64.5530386740331,839.189502762431,NA,817.67182320442,617.739990234375,18.25
"27",27,107480825010478,20.9,20.9,25.3,25.3,0,0,0,0,46.2,46.2,184.293679041211,253.817124465153,0,0,2,2,2,2,0,0,0,0,4,4,NA,30.73824,-96.72341,440,0,3388,0.997717907222222,0.0338497036666667,24.445,0.8821,0.02496,20,6.45,5.705,317,9636,5047,60282,946,1015.4,222.4,15.6,0,47.3,63.4,63.4,280.8,NA,883.6,946,19.75
"28",28,107481086010478,0,0,32.7,32.7,0,0,0,0,32.7,32.7,0,218.756950451091,0,0,0,0,4,4,0,0,0,0,4,4,NA,31.445743,-98.299627,1370,0,3389,7.26311150333333,0.583989229233333,20.1905,7.0881,0.57368,20,7.68,7.505,3622,105122,40681,1930243,438,323.4,165.1,0,0,0,0,0,2283.6,NA,704,780.880004882812,18.4899997711182
"29",29,107484438010478,0,0,5.4,5.4,0,0,0,0,5.4,5.4,0,22.9022104446696,0,0,0,0,1,1,0,0,0,0,1,1,NA,30.75308,-102.433045,3250,0,3390,11.4855104972376,1.21381812154696,20,11.4855104972376,1.21381812154696,20,8.145,7.71,6737.14917127072,236855.977900552,82241.4696132597,2977081.7679558,745.270718232044,74.5270718232044,488.841988950276,217.638674033149,0,0,50.675138121547,53.646408839779,3237.18453038674,NA,3016.57458563536,386.75,18.3400001525879
"30",30,107489235010478,0,0,15.3,15.3,0,0,0,0,15.3,15.3,0,183.853856069709,0,0,0,0,1,1,0,0,0,0,1,1,NA,27.282751,-98.54446,450,0,3391,0.96387352,0.0437645439,23.429,0.8557,0.03987,20,6.725,6.065,443,18230,6714,63055,1189,981.5,946.4,86.3,0,14,0,163,14,NA,237.8,563.179992675781,22.4699993133545
"31",31,107492092010478,81.7,81.7,65.5,65.5,0,0,0,0,147.2,147.2,514.239447484479,530.16732223818,0,0,11,11,7,7,0,0,0,0,18,18,NA,29.967581,-99.675531,2370,0,3392,0.55806975,0.0212491701,0.656166666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,742.099975585938,17.9300003051758
"32",32,107500904010478,54.2,54.2,65.4,65.4,0,0,0,0,119.6,119.6,299.236700254428,501.916550300773,0,0,8,8,7,7,0,0,0,0,15,15,NA,28.750738,-97.176892,120,0,3393,1.1746785,0.1177206846,20.1905,1.0292,0.11204,20,4.915,4.305,2248,3222,8622,45413,5449,6798.2,236.6,50.1,0,118.3,0,0,667.4,648.6,NA,939.289978027344,21.3700008392334
"33",33,107503465010478,172.2,172.2,58.8,58.8,0,0,0,0,231,231,959.395272516519,307.451965043565,0,0,25,25,9,9,0,0,0,0,34,34,NA,29.898235,-98.049833,990,0,3394,13.8431388523061,1.125659870846,13.0903333333333,13.293670718232,1.09633453038674,10,7.22,7.03,1868.19337016575,28219.5524861878,29202.8121546961,1058380.70718232,0,894.766298342541,19.6651933701657,9.83259668508287,0,9.83259668508287,39.3303867403315,0,2055.01270718232,NA,1337.23314917127,895.280029296875,19.75
"34",34,107504999010478,0,0,12.4,12.4,0,0,0,0,12.4,12.4,0,60.7741098836945,0,0,0,0,2,2,0,0,0,0,2,2,NA,33.050829,-95.671257,550,0,3395,2.0820987162963,0.196415044881482,22.8363333333333,1.9506,0.19188,20,4.92,4.305,2577,29335,49041,155985,20173,4629.7,1064.6,15.3,0,1816,0,227.1,2747.5,594.5,NA,1138.68994140625,17.8799991607666
"35",35,107508145010478,0,0,8.5,8.5,0,0,0,0,8.5,8.5,0,56.7450173054656,0,0,0,0,1,1,0,0,0,0,1,1,NA,33.795911,-97.227987,810,0,3396,8.16780779111111,0.612955507777778,20.8255,8.0812,0.60854,20,7.37,6.94,8476,65175,92884,2093108,0,626,189.4,45.3,0,0,37.1,10.7,1272.7,NA,601.4,974.940002441406,17.3700008392334
"36",36,107509366010478,0,0,101.9,101.9,0,0,0,0,101.9,101.9,0,1125.98607695475,0,0,0,0,9,9,0,0,0,0,9,9,NA,30.663995,-101.214497,2310,0,3397,4.28115940555556,0.366538407533333,20.5503333333333,4.256,0.36575,20,8.085,7.725,2660,107863,28595,1453424,0,186.2,133,26.6,0,0,13.3,159.6,1250.2,NA,771.4,494.010009765625,17.9799995422363
"37",37,107515210010478,0,0,118.4,118.4,0,0,0,0,118.4,118.4,0,1328.94081635829,0,0,0,0,9,9,0,0,0,0,9,9,NA,32.252256,-97.005054,610,0,3399,5.758086,0.613790783,26.1383333333333,5.6034,0.60016,20,7.75,7.63,5236,132022,35365,2839903,0,199.1,187,247.5,0,0,12.1,0,769679.9,NA,677.6,960.630004882812,18.6000003814697
"38",38,107517239010478,0,0,15.4,15.4,0,0,0,0,15.4,15.4,0,101.442026784414,0,0,0,0,2,2,0,0,0,0,2,2,NA,33.838482,-99.246604,1250,0,3400,2.50465429481481,0.295824156911111,20.7831666666667,2.4138,0.29204,20,6.665,6.05,1490,39783,62878,371308,149,5945.1,268.2,119.2,0,0,14.9,89.4,625.8,NA,447,686.090026855469,17.4200000762939
"39",39,107521130010478,0,0,10.1,10.1,0,0,0,0,10.1,10.1,0,80.1184666481737,0,0,0,0,1,1,0,0,0,0,1,1,NA,31.029393,-100.465255,2330,0,3402,6.37704736,0.651377296533333,20.1693333333333,6.3334,0.65008,20,8.04,7.655,5228,180112,41350,1926984,942,146.6,238.8,0,0,0,0,0,1760.8,NA,1013.6,575.919982910156,17.8899993896484
"40",40,107521704010478,0,0,92,92,0,0,0,0,92,92,0,962.882440362004,0,0,0,0,9,9,0,0,0,0,9,9,NA,32.908103,-99.142075,1180,0,3403,3.56373897,0.32252259785,22.0955,3.3891,0.31271,20,8.07,7.545,4755,213156,88232,1499453,163,0,343.9,0,0,16.3,32.8,0,5639.4,NA,1863.8,729.02001953125,17.8899993896484
"41",41,107523563010478,0,0,20.2,20.2,0,0,0,0,20.2,20.2,0,109.06038896937,0,0,0,0,3,3,0,0,0,0,3,3,NA,33.371471,-100.196594,1680,0,3404,2.47803253888889,0.2038618615,24.445,2.2572,0.19608,20,7.81,7.59,3684,113718,88482,4403730,150,316.2,507,0,0,114,33.6,0,3056163,NA,976.8,627.489990234375,17.3999996185303
"42",42,107526798010478,0,0,34,34,0,0,0,0,34,34,0,242.452413040792,0,0,0,0,4,4,0,0,0,0,4,4,NA,31.419484,-100.534233,2000,0,3405,4.25745164444444,0.319236368666667,22.54,4.1561,0.3129,20,8.075,7.735,2412,73637,81124,1533950,284,420.5,292.7,42.6,0,0,90.5,117,2398.2,NA,660,557.359985351562,18.25
"43",43,107527848010478,0,0,5.1,5.1,0,0,0,0,5.1,5.1,0,20.4282062299676,0,0,0,0,1,1,0,0,0,0,1,1,NA,31.359914,-102.219749,2700,0,3406,3.66781549777778,0.286221812688889,20.5503333333333,3.5949,0.28395,20,8.4,7.74,1896,54537,53358,1475814,0,72,280.2,16.5,0,14.4,78.3,0,1347.3,NA,885,366.010009765625,18.5599994659424
"44",44,107529807010478,0,0,53.1,53.1,0,0,0,0,53.1,53.1,0,326.670658101901,0,0,0,0,7,7,0,0,0,0,7,7,NA,30.130725,-96.340075,330,0,3407,8.67816576464907,0.626198712522857,23.2173333333333,8.48000662983426,0.615387900552486,20,7.82,7.49,5770.39779005525,112788.55801105,63318.7790055249,2857488.55248619,1085.33701657459,307.391712707182,795.070718232044,126.381767955801,0,0,54.2668508287293,0,1931.54309392265,NA,1119.34696132597,1095.2900390625,20.2099990844727
"45",45,107533634010478,0,0,94.2,94.2,0,0,0,0,94.2,94.2,0,835.977805120244,0,0,0,0,9,9,0,0,0,0,9,9,NA,29.645787,-99.18783,1570,0,3408,6.607312,0.487155626666667,21.3335,6.0668,0.46288,20,7.96,7.56,1809,80637,25820,1503892,100,381.8,271.3,0,0,0,20.2,50.4,1075.9,NA,643.2,837.090026855469,18.8199996948242
"46",46,107534802010478,0,0,36.4,36.4,0,0,0,0,36.4,36.4,0,177.028746029785,0,0,0,0,6,6,0,0,0,0,6,6,NA,30.955747,-97.272278,500,0,3410,4.61699834454676,0.261449525902517,22.5823333333333,4.51330331491713,0.257788121546961,20,7.79,7.52,5698.54696132597,47872.3093922652,104389.657458564,1982529.74033149,301.436464088398,302.933701657459,363.680110497238,32.1,0,0,10.7,57.8718232044199,1804.02762430939,NA,416.261878453039,904.619995117188,19.4799995422363
"47",47,107535745010478,64.1,64.1,6.6,6.6,0,0,0,0,70.7,70.7,296.464244737635,34.2119439975928,0,0,11,11,1,1,0,0,0,0,12,12,NA,30.139584,-98.55252,1750,0,3411,10.3491590279435,0.7990146073053,11.9896666666667,9.60059337016575,0.776551491712707,10,8.1,7.66,1790.32044198895,66913.226519337,23945.5359116022,1106194.24309392,223.790055248619,179.032044198895,22.3790055248619,111.895027624309,0,0,0,89.5160220994475,1051.81325966851,NA,984.676243093923,855.450012207031,18.2299995422363
"48",48,107539810010478,0,0,132.8,132.8,0,0,0,0,132.8,132.8,0,1283.56051047718,0,0,0,0,12,12,0,0,0,0,12,12,NA,31.780013,-100.447249,1980,0,3412,6.28468588444445,0.422528951111111,21.3546666666667,6.1329,0.41808,20,8.155,7.7,1806,149387,66899,1473282,133,231.6,142.9,94.2,0,0,39.9,13.3,1077,NA,742.4,590,18.1800003051758
"49",49,107541612010478,0,0,71.9,71.9,0,0,0,0,71.9,71.9,0,537.722852570063,0,0,0,0,9,9,0,0,0,0,9,9,NA,33.719837,-97.834232,910,0,3413,3.40832876407407,0.225430240574074,20.6561666666667,3.2526,0.2174,20,6.67,6.21,4466,23280,133110,462670,1428,4093.2,1409.8,0,0,0,83.2,89,1644.8,NA,453.6,899.580017089844,17.4200000762939
"50",50,107548064010478,0,0,31.6,31.6,0,0,0,0,31.6,31.6,0,160.017021810596,0,0,0,0,5,5,0,0,0,0,5,5,NA,31.302856,-101.66678,2590,0,3414,7.39617694222222,0.537135478738889,20.6561666666667,7.3721,0.53591,20,7.995,7.765,50158,224006,66002,1485359,258,219.2,103.2,0,0,0,0,0,13580.3,NA,2611.6,440.950012207031,18.0599994659424
"51",51,107552737010478,225,225,5.1,5.1,0,0,0,0,230.1,230.1,1513.83925198531,20.4282062299676,0,0,28,28,1,1,0,0,0,0,29,29,NA,31.637727,-95.823397,270,0,3416,3.34315835733333,0.1585797696,22.032,3.062,0.14498,20,4.895,4.455,6921.8,39647,130311,770871.4,22051.4,44631.2,369.4,425,0,155.4,43.6,352.8,2112.4,506.4,NA,1107.60998535156,19.0599994659424
"52",52,107561646010478,98.5,98.5,113.9,113.9,0,0,0,0,212.4,212.4,843.604021286833,832.9854381177,0,0,10,10,13,13,0,0,0,0,23,23,NA,31.008608,-98.773258,1670,0,3418,0.880161858333333,0.0287461113333333,1.3335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743.75,18.4799995422363
"53",53,107563927010478,0,0,73.1,73.1,0,0,0,0,73.1,73.1,0,393.115342725325,0,0,0,0,11,11,0,0,0,0,11,11,NA,31.871725,-100.848018,2580,0,3421,10.0224657037037,0.920621308177778,20.3386666666667,9.9027,0.91572,20,8.035,7.685,5543.9,59184.4,37141.5,2051938.3,12.7,247.6,128.8,0,0,0,25.4,76.2,1831,NA,367.3,530.059997558594,17.3099994659424
"54",54,107564803010478,0,0,75.9,75.9,0,0,0,0,75.9,75.9,0,780.693628398698,0,0,0,0,7,7,0,0,0,0,7,7,NA,30.404336,-100.132602,2210,0,3422,6.7647968,0.56809224,21.7145,6.5618,0.5616,20,7.96,7.705,11478.4,341254.8,49116.2,2156470.2,654.6,0,245.8,47.4,0,0,24,72,1654,NA,864.2,629.190002441406,18.1599998474121
"55",55,107566055010478,0,0,55.4,55.4,0,0,0,0,55.4,55.4,0,308.111699500819,0,0,0,0,8,8,0,0,0,0,8,8,NA,30.275758,-102.203499,2620,0,3423,6.35577364,0.5144511262,20.4868333333333,6.2949,0.5124,20,8.05,7.66,4312.8,88474.5,33619.8,1769296.2,98.7,121.8,144,42.3,0,0,89.1,300,2778.9,NA,481.2,369.25,18.8600006103516
"56",56,107569439010478,18.5,18.5,151.5,151.5,32.5,32.5,0,0,202.5,202.5,154.197221419821,1808.88978002883,220.092127328867,0,2,2,16,16,4,4,0,0,22,22,NA,28.734297,-97.01572,30,0,3424,5.11954836,0.3150669336,20.9313333333333,5.0806,0.31349,20,7.785,7.515,3780.9,54834.4,71083.1,1565424.8,0,229.6,170.7,13.6,0,28.7,0,13.6,1926,NA,725.2,980.880004882812,21.4599990844727
"57",57,107573884010478,0,0,57.4,57.4,0,0,0,0,57.4,57.4,0,696.004144439551,0,0,0,0,4,4,0,0,0,0,4,4,NA,26.749044,-98.080537,70,0,3427,1.11014756037037,0.0174277004703704,20.4021666666667,1.0458,0.01551,20,5.865,5.2,465,10035,5412,61128,627,1007.7,642.6,62.7,0,58.5,74.7,16.2,352.2,702.6,NA,599.900024414062,23.2299995422363
"58",58,107577115010478,0,0,60.1,60.1,0,0,0,0,60.1,60.1,0,479.367769029633,0,0,0,0,6,6,0,0,0,0,6,6,NA,33.066062,-97.961759,1210,0,3428,3.9023504245,0.3969383533,20.5715,3.8098,0.39274,20,8,7.55,4928,166502,71850,1035616,1106,160.8,259.2,162,0,13.4,45.8,0,3065.2,NA,1085.6,881.950012207031,17.7099990844727
"59",59,11681913010690,0,18.4,0,0,0,0,0,0,0,18.4,89.0170278394668,0,0,0,0,3,0,0,0,0,0,0,0,3,NA,35.925933,-109.896423,7250,1,340,1.81031314339497,0.176600266767342,20.4445,1.73667375690608,0.174644861878453,20,7.28,6.84,0,52108.4613259669,75384.1,712093.348066298,122.934033149171,1059.02961325967,728.171491712707,0,0,0,7.09486187845304,0,371.583701657459,6421.79171270718,904.541878453039,303.649993896484,10.1899995803833
"60",60,11682854010690,0,153.2,0,0,0,0,0,0,0,153.2,1552.18239032238,0,0,0,0,16,0,0,0,0,0,0,0,16,NA,33.931396,-109.760434,8361,1,341,4.65545465715347,0.201111900270514,23.5983333333333,3.61914497237569,0.166774364640884,20,6.215,5.695,310.922651933702,51012.8563535912,29320.8468508287,340670.044198895,732.928950276243,3514.98453038674,25.2458563535912,-4.1907182320442,0,0,2.52110497237569,51.3780110497238,608.121325966851,12836.364640884,5517.49259668508,876.700012207031,5.92999982833862
"61",61,11685303010690,0,174.3,0,24.3,0,0,0,0,0,198.6,1634.24864441578,463.769761504559,0,0,0,17,0,1,0,0,0,0,0,18,NA,35.466807,-111.99111,7590,1,342,5.61774197416296,0.210002555111111,22.9421666666667,5.16657,0.200721,20,6.9,6.435,537.724,99234.44,101903.5,544958,16.665,2467.94,3.261,0,0,-4.348,0,0,1295.184,9991.85,5897.09,538.190002441406,8.26000022888184
"62",62,11686199010690,0,80,0,0,0,0,0,0,0,80,949.153680465816,0,0,0,0,7,0,0,0,0,0,0,0,7,NA,35.965385,-112.000037,7360,1,343,5.68004101071111,0.367238816477778,20.8043333333333,5.26013,0.359185,20,7.81,7.345,4986.28,64557.92,208720.66,867346.7,0,280.755,46.08,0,0,0,3.345,0,749.294,1812.936,452.266,500.570007324219,8.68000030517578
"63",63,11687021010690,0,279.5,0,0,0,6.9,0,0,0,286.4,3283.69474329329,0,37.3928065593525,0,0,22,0,0,0,1,0,0,0,23,NA,36.474253,-112.258286,8284,1,345,5.33629366256296,0.319263225392593,23.6406666666667,4.57997,0.29963,20,6.355,5.785,2096.493,28999.69,46389.06,436447.9,0,1557.724,0,0,0,0,3.873,44.182,639.811,34190,6211.92,664.299987792969,7.48999977111816
"64",64,11688207010690,0,0,0,75,0,0,0,0,0,75,0,578.461455305489,0,0,0,0,0,8,0,0,0,0,0,8,NA,35.018729,-111.269504,6333,1,346,4.78631093396667,0.365573843277778,20.127,4.7436,0.363681,20,7.99,7.58,2991.87,44613.81,65438.37,1378067.7,129.228,86.313,0,0,0,0,0.189,85.884,1544.922,110.9952,1062.03,412.260009765625,10.2299995422363
