"","PLT_CN","PREVDIA.EM","DIA.EM","PREVDIA.AM","DIA.AM","PREVDIA.EITHER","DIA.EITHER","PREVDIA.OTHER","DIA.OTHER","PREVDIA.TOT","DIA.TOT","PREVSTEM.EM","STEM.EM","PREVSTEM.AM","STEM.AM","PREVSTEM.EITHER","STEM.EITHER","PREVSTEM.OTHER","STEM.OTHER","PREVSTEM.TOT","STEM.TOT","REMPER","prevTPA","TPA","latitude","longitude","elevation","X","C.storage","N.storage","depth","m.C.storage","m.N.storage","m.depth","pH_H2O","pH_CaCl2","m.Na.storage","m.K.storage","m.Mg.storage","m.Ca.storage","m.Al.storage","m.Mn.storage","m.Fe.storage","m.Ni.storage","m.Cu.storage","m.Zn.storage","m.Cd.storage","m.Pb.storage","m.S.storage","m.BrayP.storage","m.OlsenP.storage","map","mat"
"239","70555588010538",112.1,119.5,135.5,140.7,0,0,0,0,247.6,260.2,16,16,16,16,0,0,0,0,32,32,4.1,192.577472,198.595518,45.02623,-68.18843,358,3056,27.884091776,0.991872181333333,23.556,8.9893,0.40783,20,3.95,3.41,3284,7877,3176,11615,40706,196.1,8968.5,0,0,134.1,4.6,151.3,2124.9,1081.1,NA,1156.32995605469,5.86999988555908
"240","70557059010538",212.3,230.9,127.1,163.6,0,0,0,0,339.4,394.5,29,30,17,19,0,0,0,0,46,49,4.1,276.830116,282.848162,44.46617,-69.60057,277,3057,17.7496295805556,0.671915185,23.175,5.8473,0.3015,20,4.755,4.405,1302,6612,2004,18762,42327,2409.3,547.8,19.8,0,156.9,0,141,7394.4,342.3,NA,1124.71997070312,6.94999980926514
"241","70585179010538",169.1,174.9,59.6,63.7,0,0,0,0,228.7,238.6,24,24,6,6,0,0,0,0,30,30,3.8,180.54138,162.487242,45.86039,-68.10142,698,3059,30.951033856,1.32763940266667,26.096,9.398,0.4634,20,4.575,4.26,700,5600,2620,7720,58700,502,3428,0,0,260,16,100,3916,668,NA,1104.21997070312,4.98999977111816
"242","70588962010538",43,45.9,64.6,73.1,0,0,0,0,107.6,119,5,5,6,7,0,0,0,0,11,12,3.9,66.198506,72.216552,45.28229,-68.12337,365,3060,18.187888084,0.937647544,23.3655,5.41,0.42593,20,5.36,4.83,2366,9193,13549,121079,3466,5887.7,48.9,0,0,242.7,9.6,19.2,1005.7,1094.9,NA,1158.39001464844,5.69999980926514
"243","70589161010538",85.9,88.9,119.8,131.5,0,0,0,0,205.7,220.4,9,9,12,12,0,0,0,0,21,21,3.9,126.378966,120.36092,45.74006,-68.65342,449,3061,50.0167481123704,2.14240369718518,29.6731666666667,6.515,0.292,20,4.565,3.92,725,4775,13605,161040,36200,134,3601,0,0,397.5,11.5,30.5,1768,242.5,NA,1091.28002929688,5.23000001907349
"244","70597277010538",48.6,50.4,23.5,23.9,0,0,0,0,72.1,74.3,8,8,3,3,0,0,0,0,11,11,4.2,60.18046,60.18046,45.51996,-69.30073,1373,3062,60.9094694704444,1.80439780625926,24.8048333333333,12.3552,0.44638,20,4.635,4.435,1428,9434,2558,4630,59735,159.7,7938,6.6,0,323.9,6.6,107.7,6375.2,245.2,NA,1300.91003417969,4.03999996185303
"245","70602393010538",237.5,245.2,50.9,57.9,0,0,0,0,288.4,303.1,26,26,6,7,0,0,0,0,32,33,3.9,186.559426,168.505288,45.30455,-68.88495,486,3064,39.1771243637037,1.60965455731852,27.0061666666667,5.9541,0.27737,20,4.565,4.275,2805,4514,1428,9073,41701,2132.3,1064.8,0,0,472.5,11.5,34.5,2342.4,5715.2,NA,1110.48999023438,5.67999982833862
"246","70602730010538",321.2,333.1,27.7,28.9,78,80.9,0,0,426.9,442.9,43,43,4,4,8,8,0,0,55,55,5,330.99253,318.956438,45.72653,-69.24309,1123,3066,19.4634275573333,0.7075554,23.048,10.018,0.3532,20,4.4,3.8,1908,7720,9360,59280,103940,717.2,5548,0,0,504,7.6,136.8,2252,476,NA,1115.80004882812,4.05999994277954
"247","70602911010538",154.7,184.7,59.8,67.5,5.7,6.2,0,0,220.2,258.4,21,24,7,7,1,1,0,0,29,32,5.1,168.505288,186.559426,45.32253,-69.58801,817,3067,31.3653876270792,1.05338691416575,23.048,9.40437016574586,0.456833370165746,20,4.74,4.27,763.132596685083,11926.1657458564,6477.75138121547,35170.4033149171,52141.4696132597,718.670718232044,3288.47403314917,8.5,0,393.335359116022,8.5,178.313259668508,3649.96022099447,1452.66077348066,NA,1250.09997558594,4.82999992370605
"248","70603048010538",11.5,11.8,25.5,28.3,0,0,0,0,37,40.1,1,1,2,2,0,0,0,0,3,3,4,18.054138,18.054138,46.52264,-69.36951,1440,3068,34.37233283,1.53301005733333,8.382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001.91998291016,3.33999991416931
"249","70614765010538",0,5.9,0,0,0,0,0,0,0,5.9,0,1,0,0,0,0,0,0,0,1,4,0,6.018046,46.55786,-69.90897,1243,3070,9.59723921925,0.2310248745,2.7305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1131.44995117188,3.15000009536743
"250","70617447010538",6.6,7.7,27.9,58.4,12.4,12.8,0,0,46.9,78.9,1,1,5,10,1,1,0,0,7,12,4.1,42.126322,72.216552,44.46919,-68.88707,60,3072,11.3723055208333,0.605265499583333,21.0795,5.6089,0.43384,20,5.18,4.545,3762,8514,29942,203522,17358,9253.2,684.2,47.3,0,793.1,25.3,535.7,1551,728.2,NA,1212.5400390625,7.28000020980835
"251","70624156010538",187.2,232.9,80.1,88.2,0,0,0,0,267.3,321.1,20,27,8,9,0,0,0,0,28,36,4.1,168.505288,198.595518,44.88406,-67.83771,627,3073,50.3332856086667,1.92753183444444,26.1595,11.0913,0.45433,20,4.36,3.795,1736,5316,1150,1866,35026,199.6,2863.4,0,0,119.9,7.6,169.7,3219.2,484.5,NA,1227.02001953125,5.78000020980835
"252","70626541010538",143.2,147.2,47.7,49.2,0,0,0,0,190.9,196.4,12,12,6,6,0,0,0,0,18,18,4.6,114.342874,96.288736,43.60995,-70.93634,640,3074,25.1541233524444,0.905320215907407,24.7201666666667,12.2022,0.4866,20,4.845,4.435,2043,6390,2295,13113,27987,611.4,1709.4,0,0,274.5,7.8,185.4,9450,1249.8,NA,1243.55004882812,7.26000022888184
"253","90571899010661",10.7,14,148.3,218.2,0,0,0,0,159,232.2,2,2,18,25,0,0,0,0,20,27,5.5,120.36092,150.45115,41.235111,-86.047561,838,3152,12.6951084722222,0.954449711333333,20.0846666666667,10.1353,0.8461,20,6.605,6.195,648,20001,67046,665120,43,1229.9,0,0,0,23.8,16.2,0,867.6,NA,NA,1000.16998291016,9.89000034332275
"254","90922311010661",0,0,81.2,113.7,0,0,0,0,81.2,113.7,0,0,11,15,0,0,0,0,11,15,4.8,66.198506,66.198506,41.839077,-92.031079,922,3180,6.94390331614815,0.462248155496296,21.6298333333333,5.1424,0.37674,20,6.235,5.68,1272,36482,78230,450590,0,12641.8,0,0,0,50.2,27,11.6,1104.2,NA,NA,917.549987792969,9.22999954223633
"255","90922736010661",0,0,267.7,305,0,0,0,0,267.7,305,0,0,31,36,0,0,0,0,31,36,4.9,186.559426,216.649656,42.217123,-90.554474,854,3181,20.9996801273333,1.577951413875,22.3918333333333,7.5878,0.8228,20,7.67,7.335,825,46354,159852,588676,0,192.5,0,0,0,0,5.5,12.1,1182.5,NA,NA,917.159973144531,8.57999992370605
"256","90932669010661",65,91.3,58.8,56.2,0,0,0,0,123.8,147.5,7,11,7,6,0,0,0,0,14,17,5,84.252644,102.306782,43.415875,-91.4767,831,3182,26.6002590055,1.88177751033333,24.2121666666667,15.8503,1.17458,20,7.41,7.125,487,15975,126748,619366,38,130.5,0,0,0,63,17.2,0,1206.9,NA,NA,867.559997558594,8.32999992370605
